"value_name","pay_value","unit_type","payroll_year","industry_branch_name","industry_code","food_name","food_code","price","price_value","price_unit","year_date"
Průměrná hrubá mzda na zaměstnance,17064.88,Kč,2015,Administrativní a podpůrné činnosti,N,Konzumní brambory,117401,13.34,1.0,kg,2015
Průměrná hrubá mzda na zaměstnance,17064.88,Kč,2015,Administrativní a podpůrné činnosti,N,Mrkev,117106,20.84,1.0,kg,2015
Průměrná hrubá mzda na zaměstnance,17064.88,Kč,2015,Administrativní a podpůrné činnosti,N,Papriky,117103,63.52,1.0,kg,2015
Průměrná hrubá mzda na zaměstnance,17064.88,Kč,2015,Administrativní a podpůrné činnosti,N,Rajská jablka červená kulatá,117101,42.77,1.0,kg,2015
Průměrná hrubá mzda na zaměstnance,17064.88,Kč,2015,Administrativní a podpůrné činnosti,N,Jablka konzumní,116104,29.87,1.0,kg,2015
Průměrná hrubá mzda na zaměstnance,17064.88,Kč,2015,Administrativní a podpůrné činnosti,N,Banány žluté,116103,31.91,1.0,kg,2015
Průměrná hrubá mzda na zaměstnance,17064.88,Kč,2015,Administrativní a podpůrné činnosti,N,Pomeranče,116101,32.5,1.0,kg,2015
Průměrná hrubá mzda na zaměstnance,17064.88,Kč,2015,Administrativní a podpůrné činnosti,N,Rostlinný roztíratelný tuk,115201,91.54,1.0,kg,2015
Průměrná hrubá mzda na zaměstnance,17064.88,Kč,2015,Administrativní a podpůrné činnosti,N,Máslo,115101,157.04,1.0,kg,2015
Průměrná hrubá mzda na zaměstnance,17064.88,Kč,2015,Administrativní a podpůrné činnosti,N,Vejce slepičí čerstvá,114701,31.15,10.0,ks,2015
Průměrná hrubá mzda na zaměstnance,17064.88,Kč,2015,Administrativní a podpůrné činnosti,N,Eidamská cihla,114501,119.39,1.0,kg,2015
Průměrná hrubá mzda na zaměstnance,17064.88,Kč,2015,Administrativní a podpůrné činnosti,N,Jogurt bílý netučný,114401,8.52,150.0,g,2015
Průměrná hrubá mzda na zaměstnance,17064.88,Kč,2015,Administrativní a podpůrné činnosti,N,Mléko polotučné pasterované,114201,19.54,1.0,l,2015
Průměrná hrubá mzda na zaměstnance,17064.88,Kč,2015,Administrativní a podpůrné činnosti,N,Šunkový salám,112704,128.86,1.0,kg,2015
Průměrná hrubá mzda na zaměstnance,17064.88,Kč,2015,Administrativní a podpůrné činnosti,N,Kuřata kuchaná celá,112401,69.58,1.0,kg,2015
Průměrná hrubá mzda na zaměstnance,17064.88,Kč,2015,Administrativní a podpůrné činnosti,N,Vepřová pečeně s kostí,112201,108.66,1.0,kg,2015
Průměrná hrubá mzda na zaměstnance,17064.88,Kč,2015,Administrativní a podpůrné činnosti,N,Hovězí maso zadní bez kosti,112101,203.09,1.0,kg,2015
Průměrná hrubá mzda na zaměstnance,17064.88,Kč,2015,Administrativní a podpůrné činnosti,N,Těstoviny vaječné,111602,44.42,1.0,kg,2015
Průměrná hrubá mzda na zaměstnance,17064.88,Kč,2015,Administrativní a podpůrné činnosti,N,Pečivo pšeničné bílé,111303,39.46,1.0,kg,2015
Průměrná hrubá mzda na zaměstnance,17064.88,Kč,2015,Administrativní a podpůrné činnosti,N,Chléb konzumní kmínový,111301,22.44,1.0,kg,2015
